PROCESSO,OSC,VALOR,PROJETO,PARLAMENTAR,cnpj,
04008-00000209/2025-01,movimento tecnologico,"1.200.000,00",instituto gente brasil,doutora jane,31.081.468/0001-81,
04008-00000211/2025-71,ASSOCIAÇÃO AMIGOS METROVIÁRIOS DOS EXCEPCIONAIS - AME,"476.100,00",cil online,iolando,64.917.818/0001-56,
04008-00000230/2025-06,INSTITUTO SARANDO AS NAÇÕES,"R$ 1.500.000,00",profissoes do futuro,doutora jane,33.384.478/0001-11,liberado
04008-00000247/2025-55,Instituto Desponta Brasil,"850.000,00","""51º ANIVERSÁRIO DO PLANETÁRIO DE BRASÍLIA LUIS CRULS""",joaquin roriz neto,17.227.826/0001-90,
04008-00000235/2025-21,INSTITUTO SOCIOCULTURAL HUMANIDADE DIVERSIFICADA E UNIDA - HDUN,"1.250.000,00",MULHER DIGITAL,doutora jane,41.453.983/0001-07,
04008-00000290/2025-11,INSTITUTO INTEGRA MAIS UM,"650.000,00",INICIAÇÃO DE IA NAS ESCOLAS,iolando,07.995.804/0001-17,
04008-00000299/2025-21,atechsaber,"400.000,00",BASE TECH ,ricardo vale,07.919.919/0001-22,
04008-00000334/2025-11,CASA DE CULTURA TELAR - CCT,"200.000,00","""PAC MAN DF""",ricardo vale,33.523.259/0001-76,
04008-00000324/2025-77,INSTITUTO CONECTA BRASIL,"1.680.000,00",BRASÍLIA GAME FESTIVA,"iolando, manzoni , martins machado",03.233.826/0001-99,bloqueado
04008-00000337/2025-46,ASSOCIAÇÃO DAS EMPRESAS FOMENTADORAS DO BEM ESTAR - AEFBE,"R$ 1.000.000,00","""CARRETA DA INCLUSÃO 2""",Iolando,32.854.460/0001-73,
04008-00000372/2025-65,INSTITUTO RESTURANDO VIDAS,"600.000,00",ESCOLA DIGITAL,pastor daniel /jaquelina ,18.974.581/0001-28,
04008-00000375/2025-07,INSTITUTO FUTURO CERTO - I.F.C,,"""DIGITAL LAB""",pastol daniel de castro,55.152.402/0001-01,
